Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
P00517	P00517	PRKACA	PRKACA					14996846:0114:LC|20732331:0114:LC
P00517	Q3SX13	PRKACA	PKIA					16699172:0114:LC|29314498:0114:LC|17523610:0114:LC|25877959:0114:LC|23920481:0114:LC|24072592:0114:LC
P00593	P00593	PLA2G1B	PLA2G1B					16790927:0114:LC
P00669	P00669	SRN	SRN					21122069:0016:LC|14596923:0114:LC|10543951:0114:LC|7731986:0114:LC|19643512:0114:LC|21122069:0013:LC|15192098:0114:LC|21122069:0017:LC|15647261:0114:LC|24140346:0276:LC|15299514:0114:LC|18164315:0114:LC|10082366:0114:LC|24140346:0114:LC|24140346:0071:LC|15048772:0114:LC
P00711	P00711	LALBA	LALBA					3785375:0114:LC|8805552:0114:LC|23353684:0051:LC|23416304:0872:LC|23416304:0016:LC
P00711	P08037	LALBA	B4GALT1					11419947:0114:LC|15736931:0114:LC|11485999:0114:LC|11916963:0114:LC
P00727	P00727	LAP3	LAP3					7619821:0114:LC
P00730	P00730	CPA1	CPA1					PDB_3FVL:0114:LC|PDB_1BAV:0114:LC|11937361:0114:LC|7556081:0114:LC|19646864:0114:LC|PDB_3HLP:0114:LC|7154070:0114:LC
P00730	P05805	CPA1	P05805					7556081:0114:LC
P00730	Q7M3E1	CPA1	CTRC					7556081:0114:LC
P00735	P00735	F2	F2					15299666:0114:LC|1518046:0114:LC|8939759:0114:LC|9438869:0114:LC|9342325:0114:LC|9232645:0114:LC|1560020:0114:LC|1517214:0114:LC|2583108:0114:LC|8855938:0114:LC|11513582:0114:LC|21736375:0114:LC
P00743	P00743	F10	F10					9761680:0114:LC
P00760	P00760	P00760	P00760					PDB_5GXP:0114:LC|PDB_5GIB:0114:LC|15932872:0114:LC|23275169:0114:LC|25003390:0114:LC|21698291:0114:LC|24169696:0114:LC|17142058:0114:LC|25003391:0114:LC
