Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
Q67ZR8	Q9C595	Q67ZR8	YLMG2	T6G15.80|T6G15_80		LOCUS:2140897	LOCUS:504956451	24833385:0090:HT|24833385:0112:HT
Q67ZR8	Q9C7D7	Q67ZR8	Q9C7D7	T6G15.80|T6G15_80	F28J15.3	LOCUS:2140897	LOCUS:2082199	24833385:0090:HT|24833385:0112:HT
Q67ZR8	Q9C835	Q67ZR8	CYP21-4	T6G15.80|T6G15_80	T8E24.14	LOCUS:2140897	LOCUS:2103420	24833385:0090:HT|24833385:0112:HT
Q67ZR8	Q9FIH5	Q67ZR8	URGT3	T6G15.80|T6G15_80	MDH9.11	LOCUS:2140897	LOCUS:2162271	24833385:0090:HT|24833385:0112:HT
Q67ZR8	Q9LMN8	Q67ZR8	WAK3	T6G15.80|T6G15_80	F16F4.8	LOCUS:2140897	LOCUS:2014897	24833385:0090:HT|24833385:0112:HT
Q67ZR8	Q9LNF4	Q67ZR8	Q9LNF4	T6G15.80|T6G15_80	F21D18.27|T2J15.5	LOCUS:2140897	LOCUS:2023812	24833385:0090:HT|24833385:0112:HT
Q67ZR8	Q9LNM6	Q67ZR8	Q9LNM6	T6G15.80|T6G15_80	F12K21.2	LOCUS:2140897	LOCUS:2009248	24833385:0090:HT|24833385:0112:HT
Q67ZR8	Q9LPN5	Q67ZR8	VPS60-1	T6G15.80|T6G15_80	F13M14.7|F18K10.26	LOCUS:2140897	LOCUS:2075800	24833385:0112:HT
Q67ZR8	Q9LVM1	Q67ZR8	ABCB25	T6G15.80|T6G15_80	MCK7.14	LOCUS:2140897	LOCUS:2161183	24833385:0090:HT|24833385:0112:HT
Q67ZR8	Q9LX65	Q67ZR8	VHA-H	T6G15.80|T6G15_80	F4M19_10	LOCUS:2140897	LOCUS:2083881	24833385:0090:HT|24833385:0112:HT
Q67ZR8	Q9LYM2	Q67ZR8	AVT6C	T6G15.80|T6G15_80	F18O21_160	LOCUS:2140897	LOCUS:2078381	24833385:0090:HT|24833385:0112:HT
Q67ZR8	Q9SCY3	Q67ZR8	PNSL4	T6G15.80|T6G15_80	T19P19.100	LOCUS:2140897	LOCUS:2135287	24833385:0090:HT|24833385:0112:HT
Q67ZR8	Q9SHI7	Q67ZR8	UBC34	T6G15.80|T6G15_80	F20D23.1	LOCUS:2140897	LOCUS:2020392	24833385:0090:HT|24833385:0112:HT
Q67ZR8	Q9SLK2	Q67ZR8	ALIS3	T6G15.80|T6G15_80	F20D21.14|F20D21_50	LOCUS:2140897	LOCUS:2020018	24833385:0090:HT|24833385:0112:HT
Q67ZR8	Q9STK6	Q67ZR8	WNK3	T6G15.80|T6G15_80	T29H11_220	LOCUS:2140897	LOCUS:504955638	24833385:0090:HT|24833385:0112:HT
Q67ZR8	Q9XI00	Q67ZR8	SKIP32	T6G15.80|T6G15_80	F8K7.20	LOCUS:2140897	LOCUS:2036932	24833385:0090:HT|24833385:0112:HT
Q67ZW1	Q949S4	HIPP27	Q949S4	K2A18.19	F14L17.11|F14L17_11	LOCUS:2156927	LOCUS:2012567	21798944:0018:HT|21798944:0397:HT
Q67ZW1	Q94AF0	HIPP27	CFIS1	K2A18.19	F27B13.60	LOCUS:2156927	LOCUS:2123919	21798944:0018:HT|21798944:0397:HT
Q67ZW1	Q9SYG2	HIPP27	ASIL1	K2A18.19	F15I1.14	LOCUS:2156927	LOCUS:2014445	21798944:0018:HT|21798944:0397:HT
Q67ZZ1	Q8LA53	Q67ZZ1	MBD2	T3K9.21|T3K9_21	T26D22.18	LOCUS:2063250	LOCUS:2182643	21798944:0018:HT
Q680A5	Q680A5	PRS4	PRS4	F23E6.7|F7D19.9	F23E6.7|F7D19.9	LOCUS:2045590	LOCUS:2045590	21798944:0018:HT|21798944:0397:HT
Q680A5	Q9M3B6	PRS4	PKP4	F23E6.7|F7D19.9	F2K15.20	LOCUS:2045590	LOCUS:2082866	21798944:0018:HT|21798944:0397:HT
Q680B9	Q680B9	PRORP2	PRORP2	T24I21.6	T24I21.6	LOCUS:2059824	LOCUS:2059824	26655022:0114:LC|PDB_5FT9:0114:LC
Q680P8	Q9FIR9	RPS29A|RPS29B|RPS29C	LSU2	T15B3.120|T15B3.150|F17I5.3	MXC17.2	LOCUS:2097119|LOCUS:2097154|LOCUS:505006550	LOCUS:2176811	21798944:0018:HT|21798944:0397:HT
Q681Q7	Q9FPE7	Q681Q7	ECT8	F21M11.17		LOCUS:2024208	LOCUS:2207405	21798944:0018:HT|21798944:0397:HT
