Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
O13917	Q9HDW0	HPT1	TOC1	SPAC23C11.13C	SPBP18G5.03	SPAC23C11.13C	SPBP18G5.03	26771498:0018:HT
O13920	P41888	MDM28	TNR3	SPAC23C11.17	SPAC6F12.05C	SPAC23C11.17	SPAC6F12.05C	26771498:0018:HT
O13926	Q9UQW9	O13926	SPE1	SPAC23C4.06C	SPAC144.04C	SPAC23C4.06C	SPAC144.04C	26771498:0018:HT
O13929	O14128	O13929	PIL2	SPAC23C4.09C	SPAC3C7.02C	SPAC23C4.09C	SPAC3C7.02C	26771498:0018:HT|26771498:0090:HT
O13930	O13930	SEC2	SEC2	SPAC23C4.10	SPAC23C4.10	SPAC23C4.10	SPAC23C4.10	26771498:0018:HT
O13930	O14248	SEC2	TEA3	SPAC23C4.10	SPAC6G10.02C	SPAC23C4.10	SPAC6G10.02C	26771498:0018:HT
O13930	O14261	SEC2	TAF1	SPAC23C4.10	SPAC7D4.04	SPAC23C4.10	SPAC7D4.04	26771498:0018:HT
O13930	O42869	SEC2	O42869	SPAC23C4.10	SPAC3G9.05	SPAC23C4.10	SPAC3G9.05	26771498:0018:HT
O13930	O59823	SEC2	VMA8	SPAC23C4.10	SPCC965.03	SPAC23C4.10	SPCC965.03	26771498:0018:HT
O13930	O60108	SEC2	CBH2	SPAC23C4.10	SPBC14F5.12C	SPAC23C4.10	SPBC14F5.12C	26771498:0018:HT
O13930	O60130	SEC2	O60130	SPAC23C4.10	SPBC16G5.16	SPAC23C4.10	SPBC16G5.16	26771498:0018:HT
O13930	O74419	SEC2	O74419	SPAC23C4.10	SPCC162.02C	SPAC23C4.10	SPCC162.02C	26771498:0018:HT
O13930	O74424	SEC2	NUP211	SPAC23C4.10	SPCC162.08C	SPAC23C4.10	SPCC162.08C	26771498:0018:HT
O13930	O74990	SEC2	COG4	SPAC23C4.10	SPCC338.13	SPAC23C4.10	SPCC338.13	26771498:0018:HT
O13930	P17608	SEC2	RYH1	SPAC23C4.10	SPAC4C5.02C	SPAC23C4.10	SPAC4C5.02C	26771498:0018:HT
O13930	P49373	SEC2	TFS1	SPAC23C4.10	SPAC20H4.03C	SPAC23C4.10	SPAC20H4.03C	26771498:0018:HT
O13930	P87117	SEC2	ATG6	SPAC23C4.10	SPAC20G8.10C|SPAC3A12.01C	SPAC23C4.10	SPAC20G8.10C	26771498:0018:HT
O13930	Q10186	SEC2	Q10186	SPAC23C4.10	SPAC3F10.12C	SPAC23C4.10	SPAC3F10.12C	26771498:0018:HT
O13930	Q92349	SEC2	MUG79	SPAC23C4.10	SPAC6G9.04	SPAC23C4.10	SPAC6G9.04	26771498:0018:HT
O13930	Q9HFE5	SEC2	APM1	SPAC23C4.10	SPBP16F5.07	SPAC23C4.10	SPBP16F5.07	26771498:0018:HT
O13930	Q9UT46	SEC2	MOC3	SPAC23C4.10	SPAC821.07C	SPAC23C4.10	SPAC821.07C	26771498:0018:HT
O13935	Q9UTN0	TRM4B	Q9UTN0	SPAC23C4.17	SPAC139.03	SPAC23C4.17	SPAC139.03	26771498:0018:HT
O13936	P40997	SPT5	CEG1	SPAC23C4.19	SPBC2F12.08C	SPAC23C4.19	SPBC2F12.08C	24939935:0114:LC|11893740:0018:LC|11893740:0096:LC|24939935:0096:LC
O13936	Q96WV9	SPT5	CDK9	SPAC23C4.19	PI014|SPBC32H8.10	SPAC23C4.19	SPBC32H8.10	22508988:0415:LC|12904290:0415:LC|12904290:0401:LC
O13936	Q9P6Q6	SPT5	PCT1	SPAC23C4.19	SPAC644.04	SPAC23C4.19	SPAC644.04	25414009:0114:LC|11893740:0018:LC|11893740:0096:LC|25414009:0096:LC
O13939	O42651	APL6	ATG17	SPAC23H3.06	SPAC10F6.11C	SPAC23H3.06	SPAC10F6.11C	23695164:0018:HT|26771498:0018:HT
O13940	O13940	GLY1	GLY1	SPAC23H3.09C	SPAC23H3.09C	SPAC23H3.09C	SPAC23H3.09C	26771498:0018:HT
O13940	O42869	GLY1	O42869	SPAC23H3.09C	SPAC3G9.05	SPAC23H3.09C	SPAC3G9.05	26771498:0018:HT
O13940	O94374	GLY1	IMP1	SPAC23H3.09C	SPBC1604.08C	SPAC23H3.09C	SPBC1604.08C	26771498:0018:HT|26771498:0090:HT
O13940	P49373	GLY1	TFS1	SPAC23H3.09C	SPAC20H4.03C	SPAC23H3.09C	SPAC20H4.03C	26771498:0018:HT
O13940	P87027	GLY1	SPG1	SPAC23H3.09C	SPAC1565.06C	SPAC23H3.09C	SPAC1565.06C	26771498:0018:HT
O13940	Q9HFE5	GLY1	APM1	SPAC23H3.09C	SPBP16F5.07	SPAC23H3.09C	SPBP16F5.07	26771498:0018:HT
O13952	O94716	CNL2	FTA4	SPAC23H4.11C	SPCC1393.04	SPAC23H4.11C	SPCC1393.04	26771498:0018:HT
O13964	Q9Y821	O13964	MED4	SPAC24C9.04	SPBC1105.06	SPAC24C9.04	SPBC1105.06	26771498:0018:HT
O13965	O60106	MUG70	O60106	SPAC24C9.05C	SPBC14F5.10C	SPAC24C9.05C	SPBC14F5.10C	26771498:0018:HT
O13972	O13972	O13972	O13972	SPAC24C9.12C	SPAC24C9.12C	SPAC24C9.12C	SPAC24C9.12C	26771498:0018:HT
O13974	O43125	OTU1	CSH3	SPAC24C9.14	SPBC119.05C	SPAC24C9.14	SPBC119.05C	23695164:0018:HT|26771498:0018:HT
O13974	Q9URX6	OTU1	RPL31	SPAC24C9.14	SPAC890.08	SPAC24C9.14	SPAC890.08	26771498:0018:HT
O13974	Q9UT81	OTU1	UBX3	SPAC24C9.14	SPAC343.09	SPAC24C9.14	SPAC343.09	23695164:0018:HT|26771498:0018:HT
O13977	P79063	JMJ1	SUP45	SPAC25H1.02	SPAC1834.01	SPAC25H1.02	SPAC1834.01	26771498:0018:HT
O13984	O13984	O13984	O13984	SPAC26H5.02C	SPAC26H5.02C	SPAC26H5.02C	SPAC26H5.02C	26771498:0018:HT
O13984	O42869	O13984	O42869	SPAC26H5.02C	SPAC3G9.05	SPAC26H5.02C	SPAC3G9.05	26771498:0018:HT
O13984	O43017	O13984	SWD3	SPAC26H5.02C	SPBC354.03	SPAC26H5.02C	SPBC354.03	26771498:0018:HT
O13984	O43018	O13984	O43018	SPAC26H5.02C	SPBC354.04	SPAC26H5.02C	SPBC354.04	26771498:0018:HT
O13984	O60071	O13984	O60071	SPAC26H5.02C	SPBC13G1.09	SPAC26H5.02C	SPBC13G1.09	26771498:0018:HT
O13984	O74349	O13984	RKR1	SPAC26H5.02C	SPBC21D10.09C	SPAC26H5.02C	SPBC21D10.09C	26771498:0018:HT
O13984	O74445	O13984	RPT4	SPAC26H5.02C	SPCC1682.16|SPCC306.01	SPAC26H5.02C	SPCC1682.16	26771498:0018:HT
O13984	O74456	O13984	PEF1	SPAC26H5.02C	SPCC16C4.11	SPAC26H5.02C	SPCC16C4.11	26771498:0018:HT
O13984	O74536	O13984	SSP2	SPAC26H5.02C	SPCC74.03C	SPAC26H5.02C	SPCC74.03C	26771498:0018:HT
O13984	O74825	O13984	RPB4	SPAC26H5.02C	SPBC337.14	SPAC26H5.02C	SPBC337.14	26771498:0018:HT
O13984	O94441	O13984	YPP1	SPAC26H5.02C	SPAC637.04	SPAC26H5.02C	SPAC637.04	26771498:0018:HT
O13984	P08092	O13984	RAN1	SPAC26H5.02C	SPBC19C2.05	SPAC26H5.02C	SPBC19C2.05	26771498:0018:HT
O13984	P49373	O13984	TFS1	SPAC26H5.02C	SPAC20H4.03C	SPAC26H5.02C	SPAC20H4.03C	26771498:0018:HT
O13984	P87027	O13984	SPG1	SPAC26H5.02C	SPAC1565.06C	SPAC26H5.02C	SPAC1565.06C	26771498:0018:HT
O13984	Q09763	O13984	GEF1	SPAC26H5.02C	SPAC24H6.09	SPAC26H5.02C	SPAC24H6.09	26771498:0018:HT
O13984	Q09870	O13984	Q09870	SPAC26H5.02C	SPAC12G12.06C	SPAC26H5.02C	SPAC12G12.06C	26771498:0018:HT
O13984	Q92349	O13984	MUG79	SPAC26H5.02C	SPAC6G9.04	SPAC26H5.02C	SPAC6G9.04	26771498:0018:HT
O13984	Q9HFE5	O13984	APM1	SPAC26H5.02C	SPBP16F5.07	SPAC26H5.02C	SPBP16F5.07	26771498:0018:HT
O13984	Q9P7R5	O13984	GFH1	SPAC26H5.02C	SPBC211.06	SPAC26H5.02C	SPBC211.06	26771498:0018:HT
O13984	Q9Y7J9	O13984	MCP5	SPAC26H5.02C	SPBC216.02	SPAC26H5.02C	SPBC216.02	26771498:0018:HT
O13987	O14261	O13987	TAF1	SPAC26H5.05	SPAC7D4.04	SPAC26H5.05	SPAC7D4.04	26771498:0018:HT
O13987	O74372	O13987	DUO1	SPAC26H5.05	SPBC32F12.08C	SPAC26H5.05	SPBC32F12.08C	26771498:0018:HT
O13987	P79007	O13987	HAP5	SPAC26H5.05	SPBC3B8.02	SPAC26H5.05	SPBC3B8.02	26771498:0018:HT
O13991	O42896	O13991	O42896	SPAC26H5.09C	SPBC115.03|SPBC839.18C	SPAC26H5.09C	SPBC115.03	26771498:0018:HT
O13991	Q9UTE2	O13991	HEM13	SPAC26H5.09C	SPAC222.11	SPAC26H5.09C	SPAC222.11	23695164:0018:HT|26771498:0018:HT
O13995	Q9P7F8	DAP1	GET3	SPAC25B8.01|SPAC26H5.15	SPAC1142.06	SPAC25B8.01	SPAC1142.06	26771498:0018:HT
O14006	P78920	MRPS9	P78920	SPAC29A4.03C	SPBC2D10.11C	SPAC29A4.03C	SPBC2D10.11C	26771498:0018:HT
O14010	O74846	MED22	SEC6	SPAC29A4.07	SPCC1235.10C	SPAC29A4.07	SPCC1235.10C	26771498:0018:HT
O14010	Q9UT68	MED22	Q9UT68	SPAC29A4.07	SPCC4F11.03C	SPAC29A4.07	SPCC4F11.03C	26771498:0018:HT
O14011	O14011	PRP19	PRP19	SPAC29A4.08C	SPAC29A4.08C	SPAC29A4.08C	SPAC29A4.08C	26771498:0018:HT
O14011	P87126	PRP19	CWF2	SPAC29A4.08C	SPAC3A12.11C	SPAC29A4.08C	SPAC3A12.11C	21386897:0004:LC|21386897:0007:LC|21386897:0676:LC|12088152:0018:LC
