Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
Q00780	Q00780	COL8A1	COL8A1			MGI:88463	MGI:88463	12782141:0114:LC|9438378:0114:LC
Q01097	Q62108	GRIN2B	DLG4			MGI:95821	MGI:1277959	28671696:0004:LC|22234183:0006:LC|19243221:0006:LC|9647694:0018:LC|19455133:0006:LC|20141836:0006:LC|19455133:0007:LC|19240213:0006:LC|23760271:0401:LC|28671696:0006:LC|16710293:0006:LC|16332682:0007:LC
Q01098	Q62108	GRIN2C	DLG4			MGI:95822	MGI:1277959	9647694:0018:LC|19455133:0007:LC
Q01147	Q01147	CREB1	CREB1			MGI:88494	MGI:88494	10952992:0114:LC
Q01279	Q60631	EGFR	GRB2			MGI:95294	MGI:95805	8940013:0107:LC|23799367:0006:LC|18174162:0007:LC
Q01705	Q01705	NOTCH1	NOTCH1			MGI:97363	MGI:97363	15802643:0114:LC|9653148:0006:LC|17573339:0114:LC
Q01705	Q8C863	NOTCH1	ITCH			MGI:97363	MGI:1202301	10940313:0004:LC|21478879:0006:LC|10940313:0096:LC|10940313:0415:LC
Q01705	Q91ZW2	NOTCH1	POFUT1			MGI:97363	MGI:2153207	28530709:0114:LC
Q01853	Q01853	VCP	VCP			MGI:99919	MGI:99919	22232657:0410:LC|12949490:0114:LC|12949490:0040:LC|15740751:0114:LC|14988733:0114:LC|18462676:0114:LC|18462676:0071:LC
Q01853	Q9CZ44	VCP	NSFL1C			MGI:99919	MGI:3042273	12529442:0018:LC|14988733:0114:LC|22773186:0006:LC|12529442:0004:LC
Q02053	Q02053	UBA1	UBA1			MGI:98890	MGI:98890	15774460:0114:LC
Q02053	Q62108	UBA1	DLG4			MGI:98890	MGI:1277959	28671696:0004:LC|28671696:0006:LC|19455133:0007:LC
Q02085	Q07279	SNAI1	NFE2			MGI:98330	MGI:97308	20211142:0018:HT
Q02111	Q62225	PRKCQ	CISH			MGI:97601	MGI:103159	12618484:0004:LC|12618484:0007:LC|10727460:0007:LC
Q02242	Q02242	PDCD1	PDCD1			MGI:104879	MGI:104879	18287011:0114:LC|PDB_3SBW:0114:LC
Q02242	Q9EP73	PDCD1	CD274			MGI:104879	MGI:1926446	18641123:0107:LC|21884581:0107:LC|17606978:0107:LC|12719480:0107:LC|23417675:0107:LC
Q02242	Q9WUL5	PDCD1	PDCD1LG2			MGI:104879	MGI:1930125	12719480:0107:LC|18641123:0107:LC|PDB_3RNQ:0114:LC|PDB_3BP6:0114:LC|18641123:0114:LC|PDB_3RNK:0114:LC
Q02248	Q02248	CTNNB1	CTNNB1			MGI:88276	MGI:88276	9298899:0114:LC|24692547:0114:LC|20211142:0018:HT|11348595:0114:LC|PDB_4EVA:0114:LC
Q02248	Q08481	CTNNB1	PECAM1			MGI:88276	MGI:97537	15766557:0059:LC|10801826:0006:LC|10801826:0007:LC
