"Var_name","Edges","Directed","Weighted","Name","Year","Source","Description","Citation"
"coldlake_intensity",91,0,1,"Host-parasite web","1955-1983","https://www.nceas.ucsb.edu/interactionweb/html/canadian_fish.html","Undirected, weighted, bipartite adjacency network of Canadian freshwater fish (hosts) and their metazoan parasites (parasites). The name of the lake to which this dataset corresponds is the first word of the dataset (text prior to the underscore). Network is formatted as an edgelist. Node labels (words) were provided in the raw dataset, which can be found at the source URL (below). On the webpage at the source URL (below), select the appropriate named link under the ""Data files"" heading.","Arai HP, Mudry DR. Protozoan and metazoan parasites of fishes from the headwaters of the Parsip and McGregor Rivers, British Columbia: a study of possible parasite transfaunations. Canadian Journal of Fisheries and Aquatic Sciences. 1983; 40: 1676-1684.    Arthur JR, Margolic L, Arai HP. Parasites of fishes of Aishihik and Stevens Lakes, Yukon Territory, and potential consequences of their interlake transfer through a proposed water diversion for hydroelectrical purposes. Journal of the Fisheries Research Board of Canada. 1976; 33: 2489-2499.    Bangham RV. Studies on fish parasites of Lake Huron and Manitoulin Island. American Midland Naturalist. 1955; 53: 184-194.    Chinniah VC, Threlfall W. Metazoan parasites of fish from the Smallwood Reservoir, Labrador, Canada. Journal of Fish Biology. 1978; 13: 203-213.    Dechtiar AO. Parasites of fish from Lake of the Woods, Ontario. Journal of the Fisheries Research Board of Canada. 1972; 29: 275-283.    Leong TS, Holmes JC. Communities of metazoan parasites in open water fishes of Cold Lake, Alberta. Journal of Fish Biology. 1981; 18: 693-713."
"coldlake_prevalence",91,0,1,"Host-parasite web","1955-1983","https://www.nceas.ucsb.edu/interactionweb/html/canadian_fish.html","Undirected, weighted, bipartite adjacency network of Canadian freshwater fish (hosts) and their metazoan parasites (parasites). The name of the lake to which this dataset corresponds is the first word of the dataset (text prior to the underscore). Network is formatted as an edgelist. Node labels (words) were provided in the raw dataset, which can be found at the source URL (below). On the webpage at the source URL (below), select the appropriate named link under the ""Data files"" heading.","Arai HP, Mudry DR. Protozoan and metazoan parasites of fishes from the headwaters of the Parsip and McGregor Rivers, British Columbia: a study of possible parasite transfaunations. Canadian Journal of Fisheries and Aquatic Sciences. 1983; 40: 1676-1684.    Arthur JR, Margolic L, Arai HP. Parasites of fishes of Aishihik and Stevens Lakes, Yukon Territory, and potential consequences of their interlake transfer through a proposed water diversion for hydroelectrical purposes. Journal of the Fisheries Research Board of Canada. 1976; 33: 2489-2499.    Bangham RV. Studies on fish parasites of Lake Huron and Manitoulin Island. American Midland Naturalist. 1955; 53: 184-194.    Chinniah VC, Threlfall W. Metazoan parasites of fish from the Smallwood Reservoir, Labrador, Canada. Journal of Fish Biology. 1978; 13: 203-213.    Dechtiar AO. Parasites of fish from Lake of the Woods, Ontario. Journal of the Fisheries Research Board of Canada. 1972; 29: 275-283.    Leong TS, Holmes JC. Communities of metazoan parasites in open water fishes of Cold Lake, Alberta. Journal of Fish Biology. 1981; 18: 693-713."
"diseasome",1550,0,0,"Human gene-disease network","2005","https://github.com/gephi/gephi/wiki/Datasets","Undirected, unweighted, bipartite network of associations between human diseases and human genes, as extracted from the Morbid Map (MM) of the Online Mendelian Inheritance in Man (OMIM).","Goh K, Cusick M, Valle D, Childs B, Vidal M, Barabasi A. The human disease network. Proc Natl Acad Sci. 2007; 104(21): 8685-8690."
"diseasome_shared",2376,0,1,"Human gene-disease network","2005","https://github.com/gephi/gephi/wiki/Datasets","Undirected, weighted network based on the bipartite `diseasome` dataset also provided in ICON. This network does not include genes as nodes. Instead, diseases are included as nodes, diseases that share connections to genes in `diseasome` are connected by an edge, whose weight is equal to the number of genes shared by the two diseases.","Goh K, Cusick M, Valle D, Childs B, Vidal M, Barabasi A. The human disease network. Proc Natl Acad Sci. 2007; 104(21): 8685-8690."
"fullerene_c1500",2250,0,0,"Fullerene molecular structure","2019","https://figshare.com/articles/Signed_networks_from_sociology_and_political_science_biology_international_relations_finance_and_computational_chemistry/5700832","Undirected, unweighted network of a fullerene molecule containing 1500 carbon atoms. Nodes are carbon atoms, edges are bonds (single or double) connecting carbon atoms.","Aref S, Wilson MC. Balance and frustration in signed networks. Journal of Complex Networks. 2019; 7(2): 163-189."
"fullerene_c180",270,0,0,"Fullerene molecular structure","2019","https://figshare.com/articles/Signed_networks_from_sociology_and_political_science_biology_international_relations_finance_and_computational_chemistry/5700832","Undirected, unweighted network of a fullerene molecule containing 180 carbon atoms. Nodes are carbon atoms, edges are bonds (single or double) connecting carbon atoms.","Aref S, Wilson MC. Balance and frustration in signed networks. Journal of Complex Networks. 2019; 7(2): 163-189."
"fullerene_c2160",3240,0,0,"Fullerene molecular structure","2019","https://figshare.com/articles/Signed_networks_from_sociology_and_political_science_biology_international_relations_finance_and_computational_chemistry/5700832","Undirected, unweighted network of a fullerene molecule containing 2160 carbon atoms. Nodes are carbon atoms, edges are bonds (single or double) connecting carbon atoms.","Aref S, Wilson MC. Balance and frustration in signed networks. Journal of Complex Networks. 2019; 7(2): 163-189."
"fullerene_c240",360,0,0,"Fullerene molecular structure","2019","https://figshare.com/articles/Signed_networks_from_sociology_and_political_science_biology_international_relations_finance_and_computational_chemistry/5700832","Undirected, unweighted network of a fullerene molecule containing 240 carbon atoms. Nodes are carbon atoms, edges are bonds (single or double) connecting carbon atoms.","Aref S, Wilson MC. Balance and frustration in signed networks. Journal of Complex Networks. 2019; 7(2): 163-189."
"fullerene_c260",390,0,0,"Fullerene molecular structure","2019","https://figshare.com/articles/Signed_networks_from_sociology_and_political_science_biology_international_relations_finance_and_computational_chemistry/5700832","Undirected, unweighted network of a fullerene molecule containing 260 carbon atoms. Nodes are carbon atoms, edges are bonds (single or double) connecting carbon atoms.","Aref S, Wilson MC. Balance and frustration in signed networks. Journal of Complex Networks. 2019; 7(2): 163-189."
"fullerene_c2940",4410,0,0,"Fullerene molecular structure","2019","https://figshare.com/articles/Signed_networks_from_sociology_and_political_science_biology_international_relations_finance_and_computational_chemistry/5700832","Undirected, unweighted network of a fullerene molecule containing 2940 carbon atoms. Nodes are carbon atoms, edges are bonds (single or double) connecting carbon atoms.","Aref S, Wilson MC. Balance and frustration in signed networks. Journal of Complex Networks. 2019; 7(2): 163-189."
