Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
Q6EU39	Q9SAR1	MADS6	MADS8	OJ1123_G04.6|OSJ_07942	OSJ_29947			12684538:0018:HT|10444103:0018:LC
Q6EU39	Q9XJ66	MADS6	MADS22	OJ1123_G04.6|OSJ_07942	OJ1175_B01.24|OSJ_08471			12684538:0018:HT
Q6EUP4	Q8S7W1	GF14E	OSJNBA0091P11.8	B1267B06.30-1|OJ1115_A05.5-1|OSJ_07268	OSJ_09572|OSNPB_030169600			12684538:0018:HT
Q6H6T1	Q6YW46	Q6H6T1	Q6YW46	OSNPB_020648100|P0048B08.2|P0519A12.33	B1131G07.11			12684538:0018:HT
Q6H6T1	Q84P64	Q6H6T1	Q84P64	OSNPB_020648100|P0048B08.2|P0519A12.33				12684538:0018:HT
Q6H6T1	Q84P66	Q6H6T1	Q84P66	OSNPB_020648100|P0048B08.2|P0519A12.33				12684538:0018:HT
Q6H6T1	Q84P71	Q6H6T1	Q84P71	OSNPB_020648100|P0048B08.2|P0519A12.33				12684538:0018:HT
Q6H6T1	Q84P90	Q6H6T1	Q84P90	OSNPB_020648100|P0048B08.2|P0519A12.33				12684538:0018:HT
Q6H6T1	Q9AUW2	Q6H6T1	Q9AUW2	OSNPB_020648100|P0048B08.2|P0519A12.33	OSJ_12659|OSJNBA0040E01.12			12684538:0018:HT
Q6H6T1	Q9ZRI7	Q6H6T1	Q9ZRI7	OSNPB_020648100|P0048B08.2|P0519A12.33	B1131G07.12			12684538:0018:HT
Q6H7H9	Q9FXT4	Q6H7H9	Q9FXT4	OJ1003_B06.7|OSNPB_020654500	OSJNBA0041P03			12684538:0018:HT
Q6K6Z3	Q84PD0	Q6K6Z3	Q84PD0	OJ1119_A01.21|OSJ_08923|OSNPB_020822400|P0474F11.36	OSJ_11911|OSNPB_030648400			12684538:0018:HT
Q6K8J4	Q9SXG8	ISPG	DOF1	OJ1669_F01.30|OSJ_07430	OSJNBA0005N02.10			12684538:0018:HT
Q6K8Z1	Q84J55	Q6K8Z1	GF14A	OJ1695_H09.11|OSJ_08709	OJ1113_A10.40|OSJNBB0092C08.10			12684538:0018:HT
Q6L506	Q6ZKC0	RIBA3	GF14C	OJ1281_H05.8|OSJ_18816	OJ1124_B05.7			12684538:0018:HT
Q6L545	Q7G7J6	GID1	SLR1	OJ1657_H11.10|P0040B10.6	OSJ_12286|OSJNBB0022E02.5			17965273:0018:LC|19037316:0018:LC
Q6L5H6	Q6L5H6	PP2C50	PP2C50	OJ1741_B01.18|OSJNBA0052K01.2	OJ1741_B01.18|OSJNBA0052K01.2			PDB_5ZCL:0114:LC|28827170:0114:LC|PDB_5ZCU:0114:LC
Q6Q9I2	Q84P84	MADS15	Q84P84	OJ1567_G09.109-1|P0585H11.124-1				12684538:0018:HT
Q6VAK4	Q6VAK4	AHP2	AHP2	OJ1155_H10.30	OJ1155_H10.30			PDB_1YVI:0114:LC|17850744:0114:LC
Q6Z345	Q84PB5	DOF4	Q84PB5	B1121A12.10	OJ1027_G06.2|OSJ_23098|OSNPB_070148900|P0022E03.39			12684538:0018:HT
Q6Z345	Q84PB6	DOF4	Q84PB6	B1121A12.10				12684538:0018:HT
Q6Z345	Q84PB7	DOF4	THF1	B1121A12.10	OSJ_24722|P0567H04.15-1			12684538:0018:HT
Q6Z437	Q84P58	MPK3	Q84P58	P0479D12.11				12684538:0018:HT
Q6Z437	Q84P96	MPK3	Q84P96	P0479D12.11	OJ1136_C12.17|OSNPB_020817700			12684538:0018:HT
Q6Z437	Q84PB0	MPK3	Q84PB0	P0479D12.11				12684538:0018:HT
Q6ZIX2	Q84P88	SMT1-1	Q84P88	OJ1119_B04.19-1				12684538:0018:HT
Q6ZIX2	Q84PC4	SMT1-1	Q84PC4	OJ1119_B04.19-1				12684538:0018:HT
Q6ZKC0	Q84P77	GF14C	Q84P77	OJ1124_B05.7				12684538:0018:HT
Q6ZKC0	Q84P83	GF14C	Q84P83	OJ1124_B05.7				12684538:0018:HT
Q6ZKC0	Q84PB4	GF14C	Q84PB4	OJ1124_B05.7	OSJ_28289|OSNPB_080560900|P0604E01.24			12684538:0018:HT
Q6ZKC0	Q84PB8	GF14C	Q84PB8	OJ1124_B05.7				12684538:0018:HT
Q6ZKC0	Q84PC0	GF14C	Q84PC0	OJ1124_B05.7				12684538:0018:HT
Q6ZKC0	Q84PC1	GF14C	Q84PC1	OJ1124_B05.7				12684538:0018:HT
Q6ZKC0	Q8S6N3	GF14C	Q8S6N3	OJ1124_B05.7	OSJ_31238|OSJNBA0073L01.3|OSNPB_100363600			12684538:0018:HT
Q6ZKC0	Q943W1	GF14C	Q943W1	OJ1124_B05.7	B1080D07.27|OSJ_01921|OSNPB_010501800			12684538:0018:HT
Q6ZKI8	Q84PD2	Q6ZKI8	Q84PD2	OJ1119_D01.9|OSNPB_080138500	OSJ_25624|OSJNBA0060O17.33|OSNPB_070685000			12684538:0018:HT
Q71VM4	Q8S7W1	Q71VM4	OSJNBA0091P11.8		OSJ_09572|OSNPB_030169600			12684538:0018:HT
Q75I93	Q75I93	BGLU7	BGLU7	OSJNBA0004L11.16	OSJNBA0004L11.16			PDB_3SCV:0114:LC|PDB_3SCW:0114:LC|PDB_3SCR:0114:LC|PDB_3SCU:0114:LC|25252199:0114:LC|PDB_3SCN:0114:LC|PDB_3SCQ:0114:LC|PDB_3SCO:0114:LC|18308333:0114:LC|PDB_3SCS:0114:LC|PDB_3SCP:0114:LC|PDB_3SCT:0114:LC|20884352:0114:LC
Q7DNA1	Q7DNA1	CHT2	CHT2	OSJ_18467	OSJ_18467			20544965:0114:LC
Q7XGS4	Q9FXT4	OSJNBA0031A07.12	Q9FXT4	OSJ_30742|OSNPB_100150400	OSJNBA0041P03			12684538:0018:HT
Q7XI92	Q7XI92	Q7XI92	Q7XI92	OJ1301_C12.3|OSNPB_070580900|P0453G03.27	OJ1301_C12.3|OSNPB_070580900|P0453G03.27			28607067:0114:LC
Q7XKR9	Q944S9	KIN12A	MADS16	OSJ_14379|OSJNBA0038P21.12	OJ1663_H12.32|P0712G01.7			12684538:0018:HT
Q7XN53	Q84PD5	OSJNBB0103I08.16	Q84PD5		OJ1123_G04.1|OSJ_07941|OSNPB_020681900			12684538:0018:HT
Q84J54	Q8LN25	Q84J54	Q8LN25	OSJ_09369|OSNPB_030143600	OSJNBA0053C23.7|OSNPB_100534900			12684538:0018:HT
Q84J55	Q84JG3	GF14A	Q84JG3	OJ1113_A10.40|OSJNBB0092C08.10				12684538:0018:HT
Q84J55	Q84P73	GF14A	Q84P73	OJ1113_A10.40|OSJNBB0092C08.10				14750518:0018:HT|12684538:0018:HT
Q84J63	Q9FXT4	Q84J63	Q9FXT4		OSJNBA0041P03			12684538:0018:HT
Q84JR0	Q944S9	Q84JR0	MADS16		OJ1663_H12.32|P0712G01.7			12684538:0018:HT
Q84LF3	Q84LF3	Q84LF3	Q84LF3					12684538:0018:HT
Q84P59	Q9AQW1	Q84P59	OSJNBB0089A17.4		OSJ_32472|OSNPB_100562700			12684538:0018:HT
Q84P60	Q84PD5	Q84P60	Q84PD5		OJ1123_G04.1|OSJ_07941|OSNPB_020681900			12684538:0018:HT
Q84P63	Q84PD5	Q84P63	Q84PD5		OJ1123_G04.1|OSJ_07941|OSNPB_020681900			12684538:0018:HT
Q84P69	Q84PC8	Q84P69	Q84PC8					12684538:0018:HT
Q84P69	Q8RZX9	Q84P69	Q8RZX9		P0034C09.44			12684538:0018:HT
Q84P89	Q944S9	Q84P89	MADS16		OJ1663_H12.32|P0712G01.7			12684538:0018:HT
Q84P93	Q8LNI5	Q84P93	Q8LNI5		OSJ_32193|OSJNBB0028C01.28|OSNPB_100521700			12684538:0018:HT
Q84P94	Q8S7W1	Q84P94	OSJNBA0091P11.8	OSJNBA0043A12.15|OSNPB_040668800	OSJ_09572|OSNPB_030169600			12684538:0018:HT
Q84P95	Q9FXT4	APRL3	Q9FXT4	OSJ_08430|P0627E03.20	OSJNBA0041P03			12684538:0018:HT
Q84P97	Q9FXT4	VDAC5	Q9FXT4	OSJ_09816	OSJNBA0041P03			12684538:0018:HT
Q84PA2	Q84PD3	Q84PA2	Q84PD3					12684538:0018:HT
Q84PA3	Q84PD3	Q84PA3	Q84PD3					12684538:0018:HT
Q84PA4	Q8LNI5	Q84PA4	Q8LNI5	OSNPB_030278900	OSJ_32193|OSJNBB0028C01.28|OSNPB_100521700			12684538:0018:HT
Q84PA9	Q8LN25	OSJNBA0032G11.7	Q8LN25		OSJNBA0053C23.7|OSNPB_100534900			12684538:0018:HT
Q84PB1	Q9FXT4	Q84PB1	Q9FXT4		OSJNBA0041P03			12684538:0018:HT
Q84PB2	Q84PD9	Q84PB2	Q84PD9					12684538:0018:HT
Q84PB7	Q8LN25	THF1	Q8LN25	OSJ_24722|P0567H04.15-1	OSJNBA0053C23.7|OSNPB_100534900			12684538:0018:HT
Q84PB7	Q8S7W1	THF1	OSJNBA0091P11.8	OSJ_24722|P0567H04.15-1	OSJ_09572|OSNPB_030169600			12684538:0018:HT
Q84PC4	Q84PD3	Q84PC4	Q84PD3					12684538:0018:HT
Q84PC4	Q8LN25	Q84PC4	Q8LN25		OSJNBA0053C23.7|OSNPB_100534900			12684538:0018:HT
Q84PC5	Q84PD9	Q84PC5	Q84PD9	OJ1212_C10.12|OSJ_17614|OSNPB_050227600				12684538:0018:HT
Q84PC5	Q8LNI5	Q84PC5	Q8LNI5	OJ1212_C10.12|OSJ_17614|OSNPB_050227600	OSJ_32193|OSJNBB0028C01.28|OSNPB_100521700			12684538:0018:HT
Q84PC8	Q94LW0	Q84PC8	OSJNBA0082M15.26					12684538:0018:HT
Q84PC8	Q9AQW1	Q84PC8	OSJNBB0089A17.4		OSJ_32472|OSNPB_100562700			12684538:0018:HT
Q84PD0	Q9FXT4	Q84PD0	Q9FXT4	OSJ_11911|OSNPB_030648400	OSJNBA0041P03			12684538:0018:HT
Q84PD2	Q84PD2	Q84PD2	Q84PD2	OSJ_25624|OSJNBA0060O17.33|OSNPB_070685000	OSJ_25624|OSJNBA0060O17.33|OSNPB_070685000			12684538:0018:HT
Q84PD2	Q8S7W1	Q84PD2	OSJNBA0091P11.8	OSJ_25624|OSJNBA0060O17.33|OSNPB_070685000	OSJ_09572|OSNPB_030169600			12684538:0018:HT
Q84PD2	Q9AY63	Q84PD2	OSJNBA0091J19.4	OSJ_25624|OSJNBA0060O17.33|OSNPB_070685000				12684538:0018:HT
Q84PD3	Q84PD3	Q84PD3	Q84PD3					12684538:0018:HT
Q84PD3	Q8S7W1	Q84PD3	OSJNBA0091P11.8		OSJ_09572|OSNPB_030169600			12684538:0018:HT
Q84PD3	Q9AVE6	Q84PD3	TATC		B1080D07.26|OSJ_01920			12684538:0018:HT
Q84PD3	Q9LIX1	Q84PD3	Q9LIX1					12684538:0018:HT
Q84PD4	Q84PD8	Q84PD4	SAP11		OJ1134_H03.11|OSJ_27862|OSJNBA0025J22.1			12684538:0018:HT
Q84T68	Q84T68	RRP46	RRP46					20660080:0114:LC
Q84ZN6	Q84ZN6	CESA8	CESA8	OJ1136_A05.10|OJ1559_F09.120|OSJ_022567	OJ1136_A05.10|OJ1559_F09.120|OSJ_022567			27879387:0114:LC
Q8GVH7	Q9AQW1	P0592C06.130	OSJNBB0089A17.4	OSJ_23576|OSNPB_070222800	OSJ_32472|OSNPB_100562700			12684538:0018:HT
Q8H8C7	Q8H8C7	CEBIP	CEBIP	OJ1006F06.19|OSJ_30068	OJ1006F06.19|OSJ_30068			27238968:0114:LC
Q8LIL0	Q8LIL0	Q8LIL0	Q8LIL0	OJ1001_C01.122|OSJNBB0002J01.6	OJ1001_C01.122|OSJNBB0002J01.6			21117241:0114:LC|21041675:0114:LC
Q8LN25	Q9LIW7	Q8LN25	Q9LIW7	OSJNBA0053C23.7|OSNPB_100534900				12684538:0018:HT
Q8LNI5	Q8LNI5	Q8LNI5	Q8LNI5	OSJ_32193|OSJNBB0028C01.28|OSNPB_100521700	OSJ_32193|OSJNBB0028C01.28|OSNPB_100521700			12684538:0018:HT
Q8LNI5	Q9AUR3	Q8LNI5	OSJNBB0033N16.3	OSJ_32193|OSJNBB0028C01.28|OSNPB_100521700				12684538:0018:HT
Q8RZX9	Q94LW0	Q8RZX9	OSJNBA0082M15.26	P0034C09.44				12684538:0018:HT
Q942P9	Q942P9	Q942P9	Q942P9	B1189A09.48|OSJ_000491|P0701D05.3	B1189A09.48|OSJ_000491|P0701D05.3			30453087:0114:LC
Q94LR3	Q9AQW1	Q94LR3	OSJNBB0089A17.4	OSJNBA0010C11.7	OSJ_32472|OSNPB_100562700			12684538:0018:HT
Q9SE42	Q9SE42	Q9SE42	Q9SE42					12547196:0114:LC
Q9XG81	Q9XG81	PLA2-II	PLA2-II	OSJ_10213	OSJ_10213			19457861:0114:LC
