Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
Q9VH70	Q9XZC2	TOPI	TOY	CG8484	CG11186	FBGN0037751	FBGN0019650	14605208:0398:HT|14605208:0018:HT
Q9VH72	Q9W0B3	DMEL\CG9471	VTA1	CG9471|DMEL_CG9471	CG7967|DMEL_CG7967	FBGN0037749	FBGN0035251	14605208:0398:HT|14605208:0018:HT
Q9VH77	Q9VTS9	MPI	ROLS	CG8417|DMEL_CG8417	CG32096|DMEL_CG32096	FBGN0286506	FBGN0041096	14605208:0398:HT|14605208:0018:HT
Q9VH77	Q9VUN3	MPI	RAN-LIKE	CG8417|DMEL_CG8417	CG7815	FBGN0286506	FBGN0036497	14605208:0398:HT|14605208:0018:HT
Q9VH77	Q9VVP4	MPI	DMEL\CG5103	CG8417|DMEL_CG8417	CG5103|DMEL_CG5103	FBGN0286506	FBGN0036784	14605208:0398:HT|14605208:0018:HT
Q9VH77	Q9VW71	MPI	KUG	CG8417|DMEL_CG8417	CG7749	FBGN0286506	FBGN0261574	14605208:0398:HT|14605208:0018:HT
Q9VH77	Q9VWS8	MPI	DMEL\CG15042	CG8417|DMEL_CG8417	CG15042|DMEL_CG15042	FBGN0286506	FBGN0030937	14605208:0398:HT|14605208:0018:HT
Q9VH77	Q9VX95	MPI	WUS	CG8417|DMEL_CG8417	CG9089|DMEL_CG9089	FBGN0286506	FBGN0030805	14605208:0398:HT|14605208:0018:HT
Q9VH77	Q9W0G1	MPI	PTP61F	CG8417|DMEL_CG8417	CG9181	FBGN0286506	FBGN0267487	14605208:0018:HT
Q9VH77	Q9W145	MPI	START1	CG8417|DMEL_CG8417	CG3522	FBGN0286506	FBGN0035028	14605208:0398:HT|14605208:0018:HT
Q9VH89	Q9VPY9	DMT	DMEL\CG5001	CG8374	CG5001|DMEL_CG5001	FBGN0278604	FBGN0031322	14605208:0398:HT|14605208:0018:HT
Q9VH90	Q9W418	TRBD	UBI-P5E	CG9448	CG32744|DMEL_CG32744	FBGN0037734	FBGN0086558	14605208:0398:HT|14605208:0018:HT
Q9VH90	Q9Y108	TRBD	Q9Y108	CG9448		FBGN0037734		14605208:0398:HT
Q9VH94	Q9VN45	NMDYN-D7	SPARTIN	CG8362|DMEL_CG8362	CG12001	FBGN0028997	FBGN0037265	14605208:0398:HT|14605208:0018:HT
Q9VH94	Q9VVC3	NMDYN-D7	CPR73D	CG8362|DMEL_CG8362	CG9665|DMEL_CG9665	FBGN0028997	FBGN0036680	14605208:0398:HT|14605208:0018:HT
Q9VHA0	Q9VHA0	SCM	SCM	CG9495	CG9495	FBGN0003334	FBGN0003334	9343432:0004:LC|27151979:0114:LC|9343432:0018:LC|15905166:0114:LC|15280237:0018:LC|9343432:0096:LC|15280237:0004:LC
Q9VHA0	Q9VJ85	SCM	NTF-2R	CG9495	CG10174|DMEL_CG10174	FBGN0003334	FBGN0032680	14605208:0398:HT|14605208:0018:HT
Q9VHA0	Q9VK33	SCM	SFMBT	CG9495	CG16975	FBGN0003334	FBGN0032475	27151979:0401:LC|27151979:0114:LC|27151979:0004:LC
